woning,adres,naam,aantal_deuren,aantal_ramen,aantal_dakappellen
Experience House,"PSC 9288, Box 8327, APO AE 49429",Nicole Olson,9,5,2
Top House,"832 Michael Cliff Apt. 421, Danielview, VA 51169",Jessica Holmes,10,4,4
Nothing House,"Unit 5409 Box 4426, DPO AA 63273",Mark Vargas,2,14,4
Far House,"079 Gutierrez Spur Apt. 777, Trevinohaven, LA 15039",Kevin Williams,8,1,5
Design House,"719 Wong Shoal, West Kimberlyside, OH 04980",Tamara Edwards,1,15,0
Far House,"01366 Rose Viaduct Suite 665, Kimbury, NJ 75963",Noah Lawrence,5,12,4
Situation House,"64358 Jenny Field, Port Hannah, HI 87816",Daniel Nicholson,7,2,4
Management House,"87971 Thomas Loop Apt. 013, Kellyborough, MN 26154",Manuel Smith,9,18,4
Wonder House,"9091 Hoffman Forks, North Melanieview, PR 95446",Tonya Walls,7,2,3
Meet House,"0578 Sean Stream, Port Robertview, CO 20690",Kelly Ashley,3,4,5
Expect House,"967 Saunders Groves, Port Lisa, ND 88640",Richard Blair,6,12,5
Smile House,"863 Cobb Street Suite 627, East Stephanietown, VA 68568",Juan Williams,5,20,4
Material House,"85294 Brittney Ports, South Devin, MO 68169",Susan Friedman,10,2,4
Opportunity House,"718 Timothy Center, Brownland, IL 47190",William Snow,6,2,1
Ahead House,"964 Catherine Fork, South Josefurt, NM 34974",Zachary Thomas,6,4,1
Still House,"293 Porter Dam, Lake Mathew, ND 14137",Andrea Lopez,9,4,1
Drive House,"1642 Jennifer Forges, Dunnmouth, MA 09255",Jenny Thompson,6,1,2
Everything House,"3812 Cobb Forge, Matthewshire, NE 76801",Jennifer Turner,6,16,0
Medical House,"3232 Cassandra Crossing, Erinmouth, WV 62781",Michael Tucker,5,5,1
Economy House,"59059 Mindy Hill, East David, RI 57266",Travis Wells,7,3,0
Fact House,"8050 Jonathan Extension, Justinfurt, HI 52764",Jennifer Mitchell,4,16,3
Require House,"417 Bruce Green, West Justin, GA 32945",Jennifer Maldonado,5,11,4
Nice House,"352 Singh Grove Suite 863, Nicoletown, UT 44197",Micheal Marquez,7,12,4
Space House,"USS Cooper, FPO AE 81721",Brian Burke,4,19,0
Author House,"15740 Joseph Cliff, Lake Williamfurt, MI 71826",Shannon White,3,2,5
Only House,"4345 Lauren Ferry, West Jeremy, IA 17806",Rachel Austin,9,3,4
Even House,"3487 Moore Row Apt. 052, West Antonio, KY 75241",Lisa Snyder,7,15,2
Continue House,"4162 Sean Trace Apt. 476, Shannonton, ND 45053",Cynthia Cruz,6,8,1
Agency House,"27871 William Rapid, Lyonstown, WI 90888",Stephen Garcia,2,13,4
I House,"2198 Estes Ville, West Nancy, PA 45607",Jennifer Gonzalez,6,17,2
Network House,"22210 Natasha Brooks, Sandraport, WA 46311",Kristin Bailey,3,13,5
Factor House,"1512 Jennifer Islands, Lake William, ID 99701",Michele Reynolds,7,1,0
Board House,"436 Caitlin Vista Apt. 178, South Lisa, KS 56199",Monica Long,1,14,4
Old House,"69661 Rodriguez Crest, Virginiachester, DE 04676",Amanda Bentley,8,5,4
Production House,"0372 Christina Locks Suite 956, Lake Davidshire, FM 09653",Derek Klein,6,5,1
Area House,"85507 James Ports Apt. 151, Lake Amanda, VI 33424",Kenneth Allen,6,19,0
Interesting House,"Unit 3406 Box 0940, DPO AP 46737",Dylan Finley,4,16,2
Approach House,"USS Thompson, FPO AA 62429",Sean Cook,4,20,4
Pattern House,"1137 John Shoals Suite 473, Josephberg, PA 49102",Kimberly Proctor,10,18,3
Culture House,"618 Gary Landing, Johnsonfurt, MS 04598",Zachary Hampton,2,4,4
Develop House,"51415 Mary Well Apt. 890, Hamiltonfurt, MH 39253",Gina Holmes,9,18,3
Leader House,"3025 Evans Divide Apt. 430, South Karen, UT 98625",Karen Harding,5,13,5
Since House,"16843 Perez Isle Apt. 838, Lake Don, TN 21263",Deanna Williams,8,3,2
East House,"08193 Savage Bridge Suite 482, Jerryshire, TN 35270",Monique Goodwin,7,14,2
Line House,"Unit 8549 Box 3228, DPO AA 96178",Mary Davis,6,4,2
Involve House,"Unit 3996 Box 4433, DPO AE 50656",Jessica Parrish,2,2,3
Security House,"0998 Frank Square Suite 984, Weavermouth, PR 44836",Tammy Cain,5,12,0
No House,"64141 Judith Mills, Rogersberg, NY 49000",Diane Hanna,8,4,3
Never House,"083 Debra Landing, North Shelly, MO 67567",Melissa Frazier,5,9,1
Range House,"8420 Amanda Union, West Amyside, CA 48388",Blake Melton,9,3,3
Everybody House,"48209 Anderson Plaza Suite 187, West Kimberly, NJ 86494",Laurie Castillo,3,1,0
Week House,"96702 Thomas Keys, Lake Alicialand, DC 99184",Leah Norris,9,13,4
Support House,"58251 Brian Avenue, South Sarahfurt, AR 35446",Jennifer Johnson,9,8,2
Return House,"505 Suzanne Club, Toddport, DE 09454",Timothy Griffith,3,9,5
Impact House,"98300 Katherine Mall, Bradleyfort, KS 82957",Matthew Roth,8,20,4
Civil House,"76056 Julie Cliffs Apt. 045, Johnhaven, MH 37027",Robert Campbell,9,13,1
Evening House,"639 Brian Forge Suite 992, Port Marthafort, WI 66990",Elizabeth Leonard,7,3,3
Catch House,"020 Mason Tunnel Suite 166, Port Jennaville, GA 54414",Theresa Kim,10,2,1
Eight House,"032 Tammy Street, Matthewberg, MS 82055",James Martinez,9,8,3
Worker House,"852 Powell Crescent, Port Jonathanport, MS 37999",Briana Smith,4,7,2
Will House,"7038 Ivan Extensions Apt. 968, Garciaside, MP 43662",Jill Rowe,8,18,5
Kid House,"63878 Goodman Locks, Hullland, CA 73496",Robert Maldonado,7,1,3
Expert House,"5184 Parks Manors, Taylorland, CT 73108",Garrett Booth,10,19,4
Half House,"97082 Griffin Mill, Beltranland, RI 01513",Cynthia Smith,8,19,2
Old House,"36976 Nguyen Mission Suite 828, Aaronshire, FL 63889",Anna Sanchez,9,3,4
Performance House,"562 Lisa Spur Apt. 114, Clarkbury, AK 03306",Renee Huffman,10,2,5
A House,"494 Lopez Corner Apt. 229, Jayport, MP 88178",Johnathan Jacobs,10,18,5
Wear House,"0647 Douglas Streets Suite 410, Nunezbury, AZ 49729",Robert Clark,5,2,4
Argue House,"3122 Elizabeth River Apt. 215, Mooreside, FL 25150",Anna Jones,5,8,2
Nearly House,"59915 Johnson Trace Suite 007, Sarahmouth, NC 26797",Megan Chapman,1,5,5
Author House,"941 Alexandria Parkways, Saundersfort, NE 80535",Christine Marshall,8,15,5
National House,"PSC 7996, Box 4558, APO AP 55616",Shannon Moon,7,14,1
Sort House,"65715 Jeremy Corner Apt. 217, East Ashleyburgh, UT 62990",Patricia Atkins,9,3,3
Away House,"462 Cummings Trace, South Reneeview, VA 10768",Allen Mason,5,13,0
Perhaps House,"04344 Robert Isle Apt. 883, Port Heather, FL 70874",Briana Benitez,1,5,2
Congress House,"00032 Holder Parkway, South Josephfurt, MA 32105",Donna Wilson,9,1,5
Size House,"503 Ramos Hill, North Caitlin, GU 96257",April Hopkins,7,2,1
New House,"03761 Castillo Turnpike Suite 321, Reynoldsport, OK 18603",Brandon Higgins,8,2,1
Leave House,"30953 Luna Mills Apt. 216, Garciachester, NY 11505",Nathan Lamb,4,16,3
Dinner House,"59536 Adams Port Suite 300, West Brandonfurt, UT 71438",Kimberly Bowman,1,15,1
Reflect House,"9393 Rodriguez Mountains Suite 099, Amymouth, MT 47085",Kurt Fernandez,4,18,0
Like House,"2920 Allison Hills Suite 112, Mcbrideton, VT 29605",Gary Gonzales,10,19,0
Relationship House,"266 Michael Greens Apt. 819, Andrewhaven, MN 27986",Aaron Marshall,6,18,0
Cultural House,"926 Beck Way, North Jillberg, GA 17779",Belinda Everett,9,2,3
Reduce House,"805 Wang Summit Suite 911, Torreston, PA 88725",Michael Lewis,2,1,3
Court House,"9124 Page Drive, South Robert, OK 98206",Alexandria Nichols,10,6,3
Religious House,"8433 Evans Vista Apt. 713, East Emily, CT 37415",Curtis Cervantes,10,7,1
Choice House,"667 Andrew Shores Suite 002, Ryanmouth, GU 83311",Derek Sutton,4,3,3
Past House,"012 Joseph Haven, Andreabury, NJ 03552",Ruben Garner,6,14,0
Guy House,"USNV Rogers, FPO AP 63643",Melvin Lewis,5,3,2
Development House,"4221 Timothy Gateway, Port Heather, GA 87249",Teresa Gomez,7,4,3
Member House,"5033 Tracy Valleys Apt. 346, Loriport, VA 11860",Mary Li,10,18,0
Before House,"065 Lindsey Canyon Apt. 162, Zacharyberg, LA 58582",John Henry,3,19,3
Mention House,"882 Neal Motorway, Taylorhaven, GA 52718",Mr. Christopher Livingston,9,12,5
Because House,"816 Rebecca Tunnel, West Stephanie, KY 03758",Christina Cunningham,3,6,3
Back House,"14940 Johnson Bypass Suite 855, Acostaport, ND 70090",John Watson,3,9,1
Early House,"3799 Tiffany Drives, Trevinoland, ME 04146",Robert Freeman,1,5,4
Friend House,"56738 Ortiz Point Suite 989, New Amystad, NM 63580",Amber Figueroa,3,5,1
Politics House,"Unit 3935 Box 1531, DPO AE 06825",Bradley Dominguez,2,13,0
Set House,"4141 Victoria Landing, Fullertown, MS 84013",Summer Jackson,10,18,5
Use House,"2161 Ariel Trace, Alexandramouth, DC 08560",Laura Mason,8,8,3
There House,"015 Rivera Wells, Lake Kyle, IN 14338",Anthony Underwood,2,2,0
School House,"42671 Deborah Centers, Erinchester, LA 57207",Cody Jefferson,10,8,5
Shake House,"1242 Jennifer Shoal Suite 311, East Anthony, MN 82474",Jessica Meyers,8,11,1
Edge House,"44821 Mary Island, Corystad, FM 03676",Tammy French,2,13,2
Practice House,"517 Hill Estates, Davisberg, HI 07570",Traci Brown,7,16,4
Customer House,"3740 Ronald Islands Apt. 911, West Shannonchester, NY 26339",Randy Martin,8,11,4
Own House,"4603 Brian Expressway, North Abigailmouth, VT 21305",Matthew Keller,8,8,4
Another House,"846 Tiffany Islands, Bridgetport, MT 03827",Derrick Simmons,9,11,1
With House,"7281 Timothy Ferry, Hillburgh, UT 03075",Cheryl Patton,7,2,5
Night House,"4650 Hansen Spurs, South Richardview, AL 67467",Megan Andrews,9,9,5
Always House,"277 Miguel Ramp Apt. 900, Martinchester, AR 84178",Jacob Douglas,10,2,1
Yeah House,"67578 Anna Oval Apt. 709, Port Jonathanport, TN 08846",Maria Cox,9,2,5
Level House,"80724 Ralph Village, Toddhaven, IN 66510",David Morrow,8,3,4
Trip House,"4094 Timothy Viaduct, Tiffanyville, PA 97964",Alexandra Davis,9,11,3
Case House,"2363 Keith Alley, Barryville, KS 14996",Dillon Martinez,1,15,0
Star House,"5877 Carter Mill Apt. 611, South Brenda, MD 22958",Krystal Hill,3,6,1
Mrs House,"57411 Roberts Junction Suite 839, Lake Tina, CO 16216",Charles Henson,2,15,1
Doctor House,"28095 Danielle Turnpike Suite 636, Rossshire, UT 12708",Steven Thomas,2,10,4
Everything House,"76379 Brown Plaza Suite 758, Jesusberg, PR 97283",Leslie Clark,2,6,4
Want House,"34337 Norton Lane Suite 805, West William, UT 45440",Megan Marquez,8,1,3
Everyone House,"3987 Thomas Shoals Suite 834, Lake Kimberlyburgh, VA 31503",Jennifer Sims,10,15,0
Manage House,"366 James Ramp Apt. 129, East Nicholasmouth, NY 51014",Jessica Roberts,2,6,1
Us House,"45995 Jesse Hill Suite 068, Lake Cody, NJ 18092",Thomas Lambert,1,16,2
Above House,"7025 Mitchell Point Apt. 036, Port Jeffreyborough, OH 47728",Kenneth Bell,8,5,1
Media House,"813 Kurt Coves, Timothyland, IN 84627",Courtney Johnson,9,5,5
Bag House,"USNS Hughes, FPO AE 87297",Donna Reyes,8,4,4
Institution House,"3080 Anna Radial, Carrollhaven, TN 91031",Susan Neal,9,20,5
Organization House,"72055 Richard Club, Leonhaven, DE 11855",Nicole Guerrero,6,4,4
Culture House,"13751 Crawford Union Suite 475, Davidburgh, IN 08998",Tammy Casey,8,13,2
Alone House,"932 Ramirez Harbor, Taraland, AZ 61828",Raymond Brown,4,9,4
Scene House,"882 Clarke Bridge, Lake Paulmouth, OH 70370",Kyle Mullins,7,20,2
Modern House,"4802 Chelsea Estate Apt. 877, Mitchellmouth, WY 27175",Bradley Webb,3,18,5
So House,"8350 Murphy Trace, South Elizabeth, MN 56394",Brian King,4,1,4
President House,"603 Warren Course Apt. 973, Vargasberg, ME 72985",Joann Price,1,19,0
Go House,"056 Deanna Drive Apt. 240, Stantonport, MT 56371",Kimberly Gonzalez,9,2,3
Herself House,"4491 Eric Square Suite 147, Lake Andrew, KY 92378",Robert Reynolds,8,6,5
Interview House,"580 Patel Viaduct Apt. 157, Brendaberg, PR 31885",Darlene Howard,7,17,5
Election House,"9960 Kirsten Corners, Stephenhaven, SD 92216",Michael Vaughn,6,3,1
Save House,"9377 Parker Crescent Apt. 341, East Candicemouth, MH 75054",Cindy Lawrence,10,7,5
Themselves House,"92917 Mccoy Islands, Medinashire, MD 05916",Jessica Powell,1,15,0
Candidate House,"34502 Samantha Lodge, South Sarahmouth, SD 81329",Danny Reeves,9,12,2
Focus House,"09208 Booth Drives, Arroyoberg, IA 87909",Tammy Lee,10,9,0
Hospital House,"43133 Samuel Rapid, New Melissamouth, AK 77860",Denise Roberts,9,3,2
Know House,"9528 Webb Extension Apt. 524, Walshside, MO 39278",Suzanne Lane,4,10,2
Now House,"4607 Cox Trafficway, New Tyler, VT 42948",Jerry Gonzales,6,10,3
Appear House,"Unit 0216 Box 3178, DPO AE 65952",Dawn Gutierrez,7,13,5
Fire House,"23515 Bennett Islands, Shortton, NM 43206",Brandy Ellison,8,16,4
Poor House,"63199 John Creek, Johnmouth, TN 56576",Michael Hall,4,6,4
Scientist House,"9222 Cook Wall Suite 221, Russellside, UT 40539",Guy Foster,9,9,4
Two House,"0003 Juan Groves Apt. 490, Lake Rebeccabury, PR 14074",Susan Koch,8,19,5
Themselves House,"5726 Joanne Landing, Jefferyton, OH 89823",Ann Gonzalez,9,8,5
Necessary House,"71231 Harris Roads Apt. 806, North Joseph, MA 88032",Mary Wolf,1,3,0
Stay House,"264 Brian Trail Apt. 234, Reedtown, RI 59558",Donna Lewis,9,17,2
Meeting House,"027 Wright Pike, Port Joshuastad, PW 92721",Douglas Clay,5,6,0
Moment House,"534 Sandra Branch Suite 178, Shannonborough, MN 43682",Jody Stone,1,6,5
Happen House,"04324 Angela Camp, Lake Bobbystad, MH 96713",David Fitzpatrick,7,9,3
Clearly House,"4790 Edgar Cliffs Apt. 767, Jeffreyhaven, MO 94251",Elizabeth Castillo,6,5,0
Check House,"20171 Tina Stream Apt. 425, Lindseyfurt, FM 40298",Jeremiah Hall,9,13,5
Sport House,"98621 Ross Groves Suite 369, Port Ambertown, ID 46993",David Simon,2,16,2
Improve House,"2373 Rodriguez Rest, Shawnborough, NM 91985",Frances Hernandez,8,1,0
Group House,"88076 Tyler Causeway, South Ryan, MS 89965",Leslie Brady,9,14,1
To House,"7909 Rose Forest, West Jeffreyshire, IL 56709",Elizabeth Carter,9,17,1
Article House,"75457 Michelle Spur Suite 215, North Lauriemouth, WY 33044",David Pugh,7,11,5
Artist House,"Unit 9214 Box 5808, DPO AP 77582",Alex Patton,5,3,0
Assume House,"554 Scott Street Apt. 885, West Jessica, AL 32449",Valerie Turner,2,2,5
House House,"7841 Conrad Corner Suite 650, Michaelshire, NJ 50357",Lisa Valdez,9,16,2
Stock House,"55729 Lisa Springs Apt. 017, South Michaelside, ND 98260",Kathleen Neal,10,9,5
Admit House,"USNS Wilcox, FPO AA 11738",Steven Strong,5,2,0
Catch House,"566 Cohen Hill Suite 427, Batesbury, MD 68409",Mark Douglas,6,15,5
President House,"08675 Vincent Plains, Lake Tracyview, WA 35534",Dawn Bowen,6,19,1
Recent House,"7259 Kimberly Valley, Ashleyfurt, IA 36079",Elizabeth Banks,8,15,5
Relationship House,"PSC 6477, Box 5961, APO AE 56516",Mike Carey,7,2,2
Leg House,"9745 Ashley Fall Apt. 185, Joshuatown, WY 85118",Mr. Brendan Smith,4,13,5
Score House,"PSC 7943, Box 8276, APO AP 03492",Kayla Gilbert,1,1,5
Husband House,"07436 Robert Spurs, New Mariah, NY 40506",Troy Miller,8,5,4
Free House,"059 Mullins Locks, Christopherborough, NM 59254",Nicholas Dickson,4,7,1
Seat House,"836 Steven Cove, Marthastad, PR 87198",Corey Phillips,8,4,1
Respond House,"301 Taylor Point Apt. 775, Davistown, MH 45991",Ashley Wilkerson,2,5,0
Reveal House,"460 Davis Terrace, Alexanderbury, OR 61786",Sharon Price,6,6,0
My House,"2487 Underwood Rapid, Baileyland, OH 29188",Ms. Rebecca Hill,9,4,3
Deal House,"Unit 6275 Box 8680, DPO AA 87106",Ronald Duran,5,15,4
Base House,"3644 Christina Lodge Apt. 180, New Sarahchester, NM 62083",Trevor Davis,6,6,0
Conference House,"3792 Maxwell Ranch Suite 239, New Chelseashire, VT 97710",Kathleen Mercado,4,20,2
Friend House,"383 Brandy Ville, Laurenfurt, PW 50017",Ashley Yoder,8,15,0
Enough House,"20415 Lauren Inlet, Jesusville, WV 01524",Thomas Wilson,4,4,5
Explain House,"05533 Cox Station Apt. 009, Taraville, OR 07904",Mrs. Susan Patterson,9,20,3
Of House,"96719 Rhonda Greens, East David, IA 15006",Brent Mcdaniel,6,12,0
Show House,"41376 Schmidt Port Suite 840, Raymondmouth, NV 91684",Alex Hebert,2,1,1
Anyone House,"USCGC Mullins, FPO AA 56198",Mackenzie Waller,9,3,1
Sometimes House,"56496 Jessica Park Suite 146, New Daniel, ID 07836",Felicia Finley,4,4,4
Star House,"4389 Wendy Mountains, Port Dannyside, MD 46486",John Stone,4,12,1
Particularly House,"9142 Margaret Mountains Apt. 511, West Michellefurt, HI 96852",Amanda Phillips,3,14,2
Respond House,"54171 Ashley Hollow, Gonzalezland, OR 74891",Amanda Manning,9,16,2
Research House,"216 Angela Views Apt. 145, South Adam, IL 27373",Cynthia Estes,9,6,0
Career House,"196 Scott Fords, South Williebury, GA 94648",Mrs. Deborah Blankenship,6,7,1
Actually House,"752 Kelly Highway, Lake Jasonmouth, FL 09408",Justin Owen,9,3,0
Many House,"922 Sara Street Suite 053, West Brandon, ND 97741",Brandy Soto,1,18,5
Marriage House,"13179 Sharon Estates, Ashleychester, PW 10108",Tyler Jackson DDS,9,11,5
Center House,"578 Jennifer Junctions, Lisahaven, LA 39212",Charles Curry,2,6,5
Capital House,"02283 Harris Unions Suite 645, Richardfurt, WI 08667",Patricia Taylor,9,17,1
Keep House,"242 Mccormick Point, South Debraberg, OK 77574",Julie Fleming,7,20,2
Will House,"Unit 9438 Box 8809, DPO AA 16895",Kelly Le DDS,1,10,1
Often House,"502 Burns Flat Suite 126, Mcbridechester, LA 23527",Jared Gonzalez,7,4,1
Usually House,"9416 Daniel Dam Apt. 205, Smithstad, LA 53164",Sally Wagner,6,19,3
Big House,"709 Armstrong Ridge Apt. 297, Johnsonfort, MO 94683",Lori Watson,9,12,2
In House,"87876 Juan Groves Apt. 500, Lake Cindyfurt, NV 14961",Noah Rios,2,9,5
Control House,"73309 Melanie Islands, East Elizabethport, CA 12240",Roger Boyd,4,5,5
Vote House,"97995 Chad Valley, South Jenniferstad, CA 42750",Crystal Price,5,4,0
Right House,"00310 Jason Island, Lewisland, ND 24972",Rachel Knight,6,19,3
Police House,"USNS Bowman, FPO AA 69141",Scott Harris,2,11,2
Detail House,"139 Samantha Plains, Christiestad, OK 03084",Eduardo Coleman,6,11,3
Put House,"329 Robert Forks, Lake Katherineberg, MS 22449",David Johnson,3,3,4
Word House,"812 Sandra Viaduct, Heidiburgh, KY 90499",Eric Bowers,10,7,2
Eye House,"01516 Gregory Stravenue, New Dillon, FL 88651",Corey Gregory,10,16,4
Wind House,"USCGC Hawkins, FPO AP 44858",Natasha Robertson,2,5,1
Draw House,"973 Gonzalez Creek Apt. 550, Lambertborough, CA 48765",John Long,7,16,3
Claim House,"PSC 5922, Box 7076, APO AA 05694",Sharon Thomas,7,18,3
Modern House,"956 Steven Pine, Maldonadoville, ID 88036",Valerie Buckley,5,5,2
Hospital House,"8464 William Inlet Suite 128, North Teresafurt, MT 68261",Katherine Cruz,5,12,0
Large House,"PSC 6546, Box 9212, APO AA 12067",Cody Butler,4,19,2
Guy House,"370 Chris Dam Apt. 357, West Anthony, MP 12157",Gary Adkins,8,4,2
Company House,"08333 Small Springs, South Donald, AK 52632",Jacob Maxwell,5,12,1
Action House,"1123 Adam Lights, North Leslie, AS 33468",Jason Harper,2,2,3
Issue House,"948 Caitlin Club Suite 741, Williamsonchester, CO 26610",Diane Reyes,7,11,2
Even House,"63368 Jimenez Ranch, Michelleshire, CT 71979",Richard Hicks,4,12,4
Affect House,"820 David Estates Apt. 183, West Timothyburgh, DE 40746",Roy Brown,6,13,0
May House,"0868 Combs Street, Port Lorrainefurt, MA 19823",Ann Bowman,8,5,3
Turn House,"1640 Margaret Path Suite 144, Lake Christopherhaven, UT 13278",Alexis Mann,2,7,3
Foreign House,"1064 Campos Mission Apt. 182, Blairberg, GA 99746",Collin Johnson,10,5,1
Change House,"USCGC Brock, FPO AA 50735",Lisa Holmes,2,12,2
Open House,"6315 Peter Glen, Whiteberg, GU 57430",Jacob Campbell,2,1,0
Catch House,"8643 Duncan Greens, Erikbury, NC 23533",Amy Wagner,7,2,0
Decision House,"6269 Garza Avenue, North Christopherland, CO 67468",Joseph Tran,8,17,1
Share House,"462 Cook Harbor, New Derek, DE 66425",Jason Webster,8,11,1
Southern House,"889 Matthew Cliffs Suite 965, South Mandymouth, MA 25552",Ronnie Thompson,1,9,3
Bad House,"89177 Johnson Stream Apt. 805, North Lisa, KS 24441",Robert Gonzales,10,14,1
Member House,"07845 Ortiz Club Suite 529, North Lindsayville, CO 18573",Katherine Mckay,4,3,1
Finish House,"0197 Christopher Overpass Apt. 367, Jessicamouth, VA 84458",Michael Coleman,9,5,1
Laugh House,"PSC 3283, Box 8834, APO AP 99077",Michael Bowman,7,7,3
Suffer House,"8672 Brianna Village, Heatherland, OR 77776",Colton Gutierrez,9,6,2
Nearly House,"5314 Johnson Rest Suite 115, Derekburgh, TX 89122",Kari Simmons,7,12,0
Five House,"215 West Highway Apt. 731, Port Wendy, GU 90799",Christopher Rivera,4,13,2
Picture House,"949 Clark Highway, Kaylachester, HI 50255",Michelle Bowman,2,20,5
Smile House,"763 Dawn Flat Suite 117, South Matthew, NJ 08654",Dr. Christina Smith,8,10,1
Message House,"USNV Rowe, FPO AA 91939",Nicholas Grant,3,6,3
Bar House,"PSC 3181, Box 6122, APO AE 77492",Kenneth Smith,10,5,4
Begin House,"PSC 0704, Box 9909, APO AE 80891",Christina Reese,6,8,4
Green House,"767 Angela Courts Apt. 509, Wilkersonborough, WA 29475",Jennifer Miller,7,8,0
